Country,Continent,Cases,% of Cases
USA,North America,880204,38.459578956475156
Spain,Europe,213024,9.307857437167025
Italy,Europe,189973,8.300668473556648
France,Europe,158183,6.9116381862296805
Germany,Europe,153129,6.690809023846841
UK,Europe,138078,6.033171563810408
Turkey,Asia,101790,4.447605943598991
Iran,Asia,87026,3.8025086437532742
China,Asia,82804,3.6180328377421245
Russia,Europe,62773,2.7427995667309113
Brazil,South America,49492,2.1625003768602147
Belgium,Europe,42797,1.869969462306769
Canada,North America,42110,1.8399517269373564
Netherlands,Europe,35729,1.561140708899188
Switzerland,Europe,28496,1.2451024557303945
India,Asia,23039,1.0066646363550167